attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
1,1,"[527, 237]",256,1,"[229, 568]",5,0.42279905616220115,0.24874342900260696,56,256,128,128,adam,0.00016943035966173676,0.005689423547618799,adadelta,0.2620109319676046,0.5656946287748708,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 159},{},-0.0369762461116982
4,1,"[355, 86]",256,1,"[330, 731]",5,0.45936202540391524,0.3139692615560554,30,256,128,128,sgd,0.00013199999893931687,0.0014528586416795012,adagrad,0.0005424941299845366,0.6749509000730826,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 240},{},-0.05213742172540642
16,1,[1048],256,1,"[100, 502]",5,0.5,0.5,43,256,128,128,adam,0.0009067376982735538,0.003400017903439829,adam,0.0001,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 64},{},-0.10154452787963601
1,1,[281],256,1,"[578, 1043]",5,0.31569191150877207,0.16845353816189232,37,256,128,128,sgd,0.0001,0.0027403900832788553,adadelta,0.0001248146787301549,0.1766932860108903,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 395},{},-0.10357185162150903
8,1,"[336, 639]",256,1,"[514, 587]",5,0.2917600784683282,0.34057199402770566,54,256,128,128,adam,0.00018048357878816274,0.0044479541800126155,adadelta,0.11129789596699366,0.0002850216563860436,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 426},{},-0.11061508847434713
2,1,[979],256,1,"[801, 471]",5,0.3091913723176686,0.22934588014317092,31,256,128,128,adamax,1.0,0.002065456013742532,rmsprop,0.027573480995089984,0.035595074018619326,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 175},{},-0.13860218034187982
1,1,"[773, 125]",256,1,"[1012, 148]",5,0.489602063597694,0.3688767391752025,23,256,128,128,sgd,0.8126520811913823,0.0020980248557215795,adadelta,0.00501324110398112,0.00010699870400162029,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 397},{},-0.148415953396269
16,2,"[363, 950]",256,1,"[676, 101]",5,0.41383568341496624,0.13114379232707507,41,256,128,128,adam,0.004420665776393136,0.003913044027859755,sgd,0.03018138388601315,0.00029778598083067445,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 334},{},-0.15131857906052532
1,1,[867],256,1,"[680, 826]",5,0.26077004528842773,0.44883543395516823,60,256,128,128,sgd,0.06398993314856623,0.004080463334654283,adamax,0.00012165368823983387,0.0025777926276072845,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 280},{},-0.1540825179318361
16,2,[689],256,1,"[995, 373]",5,0.34009851406879205,0.3133891476391478,17,256,128,128,adagrad,0.02812762093631336,0.03674073352964626,adam,0.049860687020228625,0.008469804477759938,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 422},{},-0.18323523253567758
2,2,[212],256,1,"[197, 131]",5,0.13645262307305472,0.10863256923448764,21,256,128,128,adagrad,0.0001,0.0007987701055997027,adamax,0.0009475533759232363,0.0021861277092877908,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 336},{},-0.18387111418414376
16,1,"[1043, 948]",256,1,"[374, 682]",5,0.47486749085215163,0.47411170214154297,12,256,128,128,adadelta,0.010797764959573335,0.9844482521078033,adadelta,0.0046835741557984525,0.00020409077586056444,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 455},{},-0.19165625353891863
