latent_dim,siamese_hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,score
128,[1689],5,0.12603664576136514,256,128,128,adagrad,0.03767337242529465,0.02261358483437166,"{'model_type': 'rnn', 'dim': 47, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 47}","{'dim': 50, 'update_pairs': False}",{'dim': 94},-101.12934405954795
512,"[1344, 1025]",5,0.19734274815498662,256,128,128,adam,0.002353823236718236,0.0008640989489202728,"{'model_type': 'rnn', 'dim': 48, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 11}","{'dim': 50, 'update_pairs': False}",{'dim': 500},-103.78909762696821
128,[1538],5,0.20377566392330693,128,128,128,adamax,0.00016972747135134546,0.000459432739012731,"{'model_type': 'rnn', 'dim': 48, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 333},-112.37767472747643
512,"[169, 161]",5,0.34570483930803264,256,128,128,adamax,0.01008990396833622,0.6701538547574225,"{'model_type': 'rnn', 'dim': 24, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 41}","{'dim': 50, 'update_pairs': False}",{'dim': 144},-115.12843245465413
512,[1377],5,0.323576741397099,256,128,128,rmsprop,0.9468347668608428,0.001425361446741456,"{'model_type': 'rnn', 'dim': 39, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 29}","{'dim': 50, 'update_pairs': False}",{'dim': 197},-115.62051214760984
256,"[762, 1319, 1796]",5,0.4949913289125696,128,128,128,adamax,0.00018274527958239635,0.00010505413556842541,"{'model_type': 'rnn', 'dim': 45, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 46}","{'dim': 50, 'update_pairs': False}",{'dim': 153},-120.71493168192242
512,"[267, 635]",5,0.2213903645423998,128,128,128,adadelta,0.00019432601759471964,0.017588602295991306,"{'model_type': 'rnn', 'dim': 45, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 11}","{'dim': 50, 'update_pairs': False}",{'dim': 167},-124.65085237626268
128,[1282],5,0.45631640130667184,256,128,128,adamax,0.07308086269342944,0.0013073902526556372,"{'model_type': 'rnn', 'dim': 41, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 36}","{'dim': 50, 'update_pairs': False}",{'dim': 251},-125.53744719678039
128,[1899],5,0.46244506523258333,128,128,128,adamax,0.23289456250003915,0.030102542083977023,"{'model_type': 'rnn', 'dim': 44, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 42}","{'dim': 50, 'update_pairs': False}",{'dim': 136},-128.27926702088763
512,"[844, 523, 818]",5,0.32268762587117705,128,128,128,adagrad,0.00017005603929535899,0.000148630393550951,"{'model_type': 'rnn', 'dim': 44, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 18}","{'dim': 50, 'update_pairs': False}",{'dim': 406},-146.25824450843047
