latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
10,sgd,0.0001,1.0,-0.19255024194717407
10,adagrad,1.0,0.010347232907884318,-0.19351628422737122
69,rmsprop,1.0,0.003466058100735355,-0.19643637537956238
10,adagrad,0.00836912162851102,0.8935968807550032,-0.205305278301239
10,rmsprop,0.17054778122730851,0.0032462453062770125,-0.2061249166727066
27,adadelta,1.0,1.0,-0.2582489252090454
12,adagrad,0.015593745314867812,0.03503999205278071,-0.2715216279029846
13,sgd,0.5310662538207771,1.0,-0.2836063504219055
16,adamax,0.04855953667826473,0.06665828857240533,-0.28531521558761597
10,adagrad,0.0001,0.042922175889560786,-0.28785616159439087
10,adam,0.0064965618465990475,0.0007234142612314791,-0.3024117946624756
52,sgd,1.0,0.25810269853424683,-0.30550476908683777
10,rmsprop,1.0,0.00047052946891221214,-0.3306690454483032
36,rmsprop,1.0,0.001600594913446878,-0.33355051279067993
20,adagrad,0.00017989528186110478,0.008262497464682642,-0.33724480867385864
13,rmsprop,0.0002988968572866085,0.003014901865293397,-0.34018924832344055
10,adamax,1.0,1.0,-0.35246601700782776
10,adadelta,0.0001,1.0,-0.3901509940624237
10,adamax,0.22157869435091257,1.0,-0.3946359157562256
70,rmsprop,0.2558494020380986,0.004397758760526298,-0.3956155478954315
71,adagrad,0.6906899267697135,0.01701435751313649,-0.40713855624198914
15,adamax,0.023564708574338584,0.048597775414579956,-0.40925052762031555
85,adagrad,0.6535496795691167,0.018297382290843222,-0.4096679985523224
10,adadelta,0.0003688701047251294,0.0004442316127951361,-0.41083207726478577
10,adadelta,0.0001856163748221687,1.0,-0.41121360659599304
10,adadelta,0.0003425501057155784,0.025895536413238142,-0.41306185722351074
10,adamax,0.14988320494977111,1.0,-0.43142011761665344
10,adam,0.0001,0.0016358185787701,-0.46589523553848267
50,adagrad,0.6036923296458963,0.011337337637089996,-0.46775734424591064
10,rmsprop,0.00020451113763905412,0.0003269094665864131,-0.4686742424964905
