prot_dim,fp_dim,gconv_dim,hdims,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,score
8421,1024,512,"[1979, 4070]","[1742, 1851]",5,0.250905663821241,0.5693044199857892,61,128,128,128,adamax,0.04814626396941789,0.0023355337301616437,sgd,0.033783819407076573,0.00012570237653930527,-0.11704629019242838
8421,1024,512,"[3317, 1926]",[615],5,0.27574730060623276,0.25067942670942667,60,128,128,128,adadelta,0.10707966759537303,0.22585441407231802,adagrad,0.007988021541785443,0.013689793994990053,-0.12047785189268452
8421,1024,256,[2639],"[900, 1605]",5,0.9252071472815944,0.9532274818351695,70,256,128,128,adamax,0.001658549350252134,0.0009377017054944044,adam,0.08178316215457487,0.0008439285756638567,-0.24255827512140554
8421,1024,256,[2875],"[612, 664]",5,0.3038659010092465,0.8518054217785839,100,128,128,128,sgd,0.0001637606640420514,0.0017776754732227167,adagrad,0.00015643005450851244,0.00037052626977273056,-0.2662124938741885
8421,1024,128,"[2224, 1006]",[1826],5,0.3028913927085102,0.6710654027996765,26,128,128,128,adamax,0.9011025916386721,0.0020474954951789294,adadelta,0.0010600705348970754,0.0005503018703740203,-0.3251181147364216
8421,1024,256,"[480, 2857]",[200],5,0.30358559759148873,0.8310503059560832,22,128,128,128,adadelta,0.05947758559342963,0.011141142385109328,adadelta,0.0023202515010820822,0.4999455005577047,-0.35195588113622694
8421,1024,128,"[4351, 2238, 1187]","[1295, 1665]",5,0.4246610667759021,0.5744490730938798,76,256,128,128,sgd,0.005527124691066265,0.0010685627779036912,adadelta,0.000195361542260902,0.0009760590675656905,-0.38329110105741016
8421,1024,512,"[3906, 3906]","[1815, 964]",5,0.43711104901298525,0.5659302416124324,14,128,128,128,sgd,0.2321045441743622,0.0001001539783586808,sgd,0.7887118603255817,0.008116091221317349,-0.39678900062408096
8421,1024,256,[2624],[245],5,0.8199855417366948,0.979450091828216,66,256,128,128,adam,0.11174549451841169,0.0008406342674827508,sgd,0.009115797946823484,0.0004957310897530445,-0.42671803156360805
8421,1024,512,"[3498, 3557, 2657, 3666]","[416, 482]",5,0.21453125180109353,0.4325948905226622,28,256,128,128,adam,0.01479903234974221,0.010096899619218306,sgd,0.0001251398529861762,0.5295891613343792,-0.4347901144650611
8421,1024,512,"[4064, 696, 2714]","[1676, 619]",5,0.15331888117140713,0.7034752360620511,78,256,128,128,adadelta,0.0006168841218164037,0.0014405175781017213,sgd,0.13591202736469993,0.004468434188730549,-0.4699157991091846
8421,1024,512,"[1883, 4225]",[806],5,0.9371044393795767,0.1311584233384207,90,256,128,128,adamax,0.010708214604348417,0.028171566673353632,adadelta,0.008182183390705422,0.00014073444235230826,-0.4865071567340965
8421,1024,128,"[902, 2957, 1212]",[1189],5,0.2585257987613863,0.7199743020347621,53,128,128,128,sgd,0.0009255252813680701,0.007419407535480482,adam,0.0002499163660020334,0.0016073503139409757,-0.48827207007817475
8421,1024,128,"[3077, 281, 2595]",[153],5,0.11090739439842244,0.8758216108699355,43,128,128,128,adamax,0.0010798159485460948,0.00014578121496572062,adadelta,0.000169044357569197,0.0013958325426776436,-0.4902562128798421
8421,1024,128,"[3010, 4987]",[749],5,0.29930366026799426,0.8682931568543968,70,128,128,128,adagrad,0.0008303433192909623,0.044851435871857456,adamax,0.003611846919761849,0.0001116438909655307,-0.5115567606813428
8421,1024,256,"[876, 1878, 1161, 2980]","[178, 982]",5,0.3080888168718511,0.8735015561925952,22,256,128,128,adam,0.004277451471898838,0.0007504623354328586,sgd,0.00017810931641218595,0.5658203258117661,-0.5340827646823298
8421,1024,128,"[3390, 1672, 2372]",[992],5,0.9130331498309808,0.20754142118264518,70,128,128,128,rmsprop,0.4383222605120053,0.0015693523022319335,adagrad,0.01835050877999231,0.02855967566976138,-0.539670962060147
8421,1024,512,"[2776, 880, 4883, 4222]",[1951],5,0.20428056810166795,0.8248407093904979,113,128,128,128,adagrad,0.00012812193440846193,0.0005583925218516396,rmsprop,0.0033571551694312088,0.4093431260603898,-0.5408147173580822
8421,1024,256,"[3182, 3272]",[809],5,0.8325298067550523,0.9710543895960603,109,128,128,128,adamax,0.00043444026661497827,0.009689828989117107,adagrad,0.001858621929304717,0.000271845342142762,-0.5705285447851067
8421,1024,128,[978],[1508],5,0.28392231507569654,0.9835809770679684,115,256,128,128,adagrad,0.00014412323715682992,0.18009657791063888,adamax,0.006624145572447495,0.013406203433500392,-0.5744762299093108
8421,1024,128,"[2234, 919, 729, 4619]",[1905],5,0.4476709219182714,0.9207229890862179,88,256,128,128,adamax,0.5400762106429944,0.0035048742804972394,sgd,0.0010891782845170984,0.00040170636884856496,-0.5766350658497077
8421,1024,128,"[3334, 911]","[530, 1183]",5,0.335131233446457,0.26273098514810667,51,128,128,128,adam,0.23592088029765518,0.2414450618514913,adamax,0.005862598877182298,0.015629620960101,-0.5832239972239369
