latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
11,adam,0.0032364425030591407,0.18443575882685892,-1.7648671865463257
21,rmsprop,0.0001,0.0014443550688447843,-1.9064491987228394
10,adagrad,1.0,0.017505287695865276,-2.0754573345184326
41,sgd,0.00046383490568042724,0.09124528043345541,-2.30344295501709
69,rmsprop,0.004262939957651766,0.007678794530529289,-2.325075626373291
74,sgd,0.007822411134751506,0.0010872601991911233,-2.4308557510375977
64,rmsprop,0.00166402615044972,0.013164103549667443,-2.567448854446411
10,adam,0.0064007348050044545,1.0,-2.6788430213928223
34,adam,1.0,0.1151797441296095,-2.7022597789764404
92,rmsprop,0.0036035221080730983,0.004049639890466302,-2.7342798709869385
26,adadelta,0.08872088750937614,0.1595655991700858,-2.771179676055908
100,rmsprop,0.009912922076262473,0.0024583154927790103,-2.80397367477417
60,rmsprop,0.0001,0.01289093012332662,-2.839446783065796
100,rmsprop,0.0001,0.0030275906426497747,-2.8439180850982666
31,adadelta,0.0035615821384587594,0.04775118430165602,-2.8846659660339355
33,adam,1.0,0.23171701136777792,-3.0566914081573486
71,sgd,0.0021406864755936952,0.0012526187050480074,-3.597904920578003
53,rmsprop,0.0001641508505759989,0.00117194854547623,-3.9588522911071777
10,adagrad,0.0001,0.0055811054530911725,-4.423096656799316
15,rmsprop,0.00040986216781907904,0.0006691420901514957,-4.807784557342529
50,adamax,0.02042573598334358,0.025013283491413883,-4.81207799911499
100,adadelta,1.0,0.4290073811032177,-4.836974143981934
85,adagrad,0.6535496795691167,0.018297382290843222,-4.8562703132629395
10,adagrad,0.0001,0.005566408158899924,-4.913652420043945
46,adamax,0.00012165368823983387,0.0025777926276072845,-5.042056560516357
50,adam,0.013729528906332032,0.4527391991788818,-5.1512041091918945
10,adagrad,0.0001,0.005599977508673009,-5.222173690795898
20,adagrad,0.00017989528186110478,0.008262497464682642,-5.415912628173828
10,adagrad,0.0001,0.005083638585766089,-5.5903191566467285
20,adagrad,0.0001,1.0,-5.621788501739502
100,rmsprop,0.006766309216887879,0.0602600657597264,-5.624238967895508
18,adam,0.0001,1.0,-5.650910377502441
85,sgd,0.0004621218812522723,1.0,-6.126896381378174
89,adadelta,0.00015068254902376787,0.4026563447257936,-6.263611793518066
82,adagrad,0.00034814750711705303,0.2941768312369614,-6.30156946182251
16,adagrad,0.0001,0.0062435380098030836,-6.633737564086914
32,adam,0.0102163898094641,1.0,-6.81707763671875
69,rmsprop,0.0004575747309859833,0.04933771339290254,-7.171797275543213
74,adamax,0.00023507326237921935,0.011819801843969018,-7.888151168823242
10,adagrad,0.0001,0.0027301031076202957,-7.90718936920166
10,adadelta,0.0001,0.005635705041118708,-8.397229194641113
80,adadelta,0.00013698885785105936,0.03134151212422868,-8.412628173828125
10,adadelta,1.0,0.020449872664712765,-9.070378303527832
10,rmsprop,0.002549207204323657,0.0001,-9.520625114440918
18,adadelta,0.005796619191461355,0.010317853307025334,-9.734286308288574
98,rmsprop,0.21958314473578405,0.0010316314908653367,-9.767924308776855
10,adadelta,0.0001,0.0001242567499117902,-10.011528015136719
50,adagrad,0.6036923296458963,0.011337337637089996,-10.191022872924805
51,adadelta,0.5708357416333588,0.12988438590259566,-10.208358764648438
10,adamax,1.0,0.0001,-10.3016357421875
10,adagrad,1.0,0.0001,-11.265901565551758
88,rmsprop,0.0003855659884711411,0.06398993314856623,-11.957375526428223
100,adamax,0.0001065752755714322,0.03241573670751111,-12.111233711242676
13,adadelta,0.00020264344986400942,0.0003530828738089706,-12.507683753967285
14,adagrad,0.0001,0.0001,-14.656818389892578
17,rmsprop,1.0,0.0001,-15.002968788146973
18,rmsprop,1.0,0.0001,-16.203027725219727
83,adam,0.00017405795139306115,0.4753174161209618,-16.94287872314453
71,adamax,0.00039387596526257437,0.7457714458838739,-17.41998863220215
44,adamax,0.00018145220502044528,0.0011526565112298206,-18.3414306640625
50,adamax,0.0001,1.0,-19.145843505859375
25,rmsprop,0.00024390086366189135,0.00015831215783394757,-19.313552856445312
60,rmsprop,0.36873061891093445,0.0006292053964986811,-20.06250762939453
25,adagrad,0.15969983351613914,0.0007647692602541094,-22.19544792175293
21,rmsprop,0.5955495990382936,0.6968253526982257,-22.522239685058594
62,adadelta,0.0012571231092696417,0.013503046288848124,-22.577411651611328
36,adamax,0.0015939403711004595,0.0005380358086027842,-24.15983009338379
48,adagrad,0.11594491408425192,0.004052289393762669,-25.585742950439453
88,adamax,0.20816774494442988,0.001236516445710446,-25.874269485473633
26,rmsprop,1.0,0.38642191164113876,-26.555456161499023
25,rmsprop,0.02635455782046493,0.2671489224103174,-26.613271713256836
28,rmsprop,0.07117128371372153,0.2732677572780581,-28.56720733642578
47,adam,0.0014405175781017213,0.0003702376169277349,-30.78072738647461
39,rmsprop,0.01711766104857104,0.0001,-32.967254638671875
100,adam,0.003749665794000948,1.0,-34.889766693115234
94,adagrad,0.00432541197886889,0.0034195544749641956,-45.151180267333984
49,adamax,1.0,0.0001,-45.83112335205078
