prot_dim,fp_dim,gconv_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__momentum,score
8421,1024,256,"[5000, 5000]",5,0.01,128,512,512,adadelta,0.0001,0.001322142332440573,0.0001,0.22496854606401265
8421,1024,512,"[418, 3216]",5,0.07803133051910398,128,512,512,sgd,0.00753275956781982,0.00024248732453026716,0.4106583576251872,0.19569901188191455
8421,1024,256,"[4437, 311, 2619]",5,0.3748892170175449,128,512,512,adadelta,0.585258587762502,0.0033053172266025617,0.11263679742423215,0.17813476276526635
8421,1024,256,"[5000, 3903, 5000, 256]",5,0.2555532503320815,128,512,512,sgd,0.0013315834735303411,0.001242778220370093,0.0001,0.14386827071654748
8421,1024,128,"[653, 4606, 4575]",5,0.14749532034944693,256,512,512,adagrad,0.6701046423979115,0.0011064095569340146,0.0008395792350977545,0.14267063132880806
8421,1024,256,[2497],5,0.02888854154231577,256,512,512,adam,0.000157476944267626,0.011897275088709415,0.0004887799795976465,0.13387446223141453
8421,1024,256,"[1842, 2688, 256]",5,0.01,256,512,512,adagrad,0.16087165146986687,0.003061046777744687,0.0001,0.11356415036983196
8421,1024,512,"[907, 409, 2283]",5,0.018787751050735366,128,512,512,adadelta,0.08404266357758053,0.00033449084028208345,0.0006258468911905894,0.055320089362404415
8421,1024,256,"[3075, 2693, 2212]",5,0.21147706663784896,256,512,512,adam,0.03757090684175804,0.0006877036450345313,0.0008922629815203842,0.003642919462505105
8421,1024,512,"[2810, 3351]",5,0.18865701913884367,128,512,512,adamax,0.03899398309694271,0.002604691874285496,0.11296195782949037,0.0007328390694240309
8421,1024,128,"[1476, 1909]",5,0.07691595925010494,128,512,512,adam,0.0002249926783888046,0.011501878086100165,0.0048466436105066195,-0.0071763313612982094
8421,1024,256,"[2595, 2821, 3887, 471]",5,0.019051634380492805,256,512,512,sgd,0.3408018183470354,0.014559711126744927,0.006193280151842268,-0.036843943197819945
8421,1024,128,"[2508, 1444]",5,0.27882739057207134,128,512,512,adagrad,0.03210195673454174,0.00997570113327156,0.08920929671231838,-0.050164384990849575
8421,1024,256,"[357, 1930, 2543]",5,0.012812136846599747,128,512,512,adam,0.05082535731465816,0.0015939403711004595,0.0005380358086027842,-0.14508929142539156
8421,1024,256,[3730],5,0.49085621568773885,128,512,512,adamax,0.05957443651092372,0.0046728468466851235,0.0588354830125639,-0.17282404527566309
8421,1024,512,[3354],5,0.14023769614060322,128,512,512,adam,0.37053963052638356,0.0003542093935575015,0.00029628196298599495,-0.1862923130464858
8421,1024,512,[869],5,0.01,128,512,512,adadelta,0.00012043218189936401,0.0001,0.024870433587203124,-0.2082074809739395
8421,1024,256,"[2791, 4592]",5,0.7555367242122376,256,512,512,adamax,0.16256611075126254,0.00023507326237921935,0.011819801843969018,-0.233449472193833
8421,1024,512,"[919, 729]",5,0.7947590145400605,128,512,512,adadelta,0.44428098829015705,0.051507557747725356,0.1289291220666562,-0.2709741538944413
8421,1024,256,"[4987, 3226, 2337, 4521]",5,0.34731646215665873,128,512,512,sgd,0.09490282309942345,0.0017229054738321853,0.04665194776153412,-0.346470680582952
8421,1024,512,"[3916, 4848, 2353]",5,0.0333842155742388,128,512,512,adamax,0.10357879134667239,0.023996164573698464,0.0006951085099945102,-0.3593255642256978
8421,1024,128,"[2759, 3122, 1515]",5,0.10327690429320079,128,512,512,adam,0.48445489246565904,0.004439993129381705,0.0006929572960497712,-0.36391042832649234
8421,1024,128,"[2047, 4129]",5,0.34050684880667514,128,512,512,rmsprop,0.5078711947636781,0.0003855659884711411,0.06398993314856623,-0.39514108507536866
8421,1024,256,"[2285, 757]",5,0.7329704019149291,256,512,512,adadelta,0.01311164241187361,0.0010410613720366088,0.00024507745048172225,-0.4288088003026848
8421,1024,256,"[1363, 4382, 2131]",5,0.26756822832406363,128,512,512,rmsprop,0.03462805049539559,0.003469157339555843,0.003593665136803909,-0.4409049213321853
8421,1024,256,"[2001, 4894, 2527]",5,0.47156060113601084,128,512,512,adamax,0.1123543475952193,0.06039525857619053,0.007580917785665611,-0.4833336029639681
8421,1024,512,"[2612, 2903, 2273, 2017]",5,0.032394459465609114,256,512,512,rmsprop,0.09107905145414025,0.001069328005051181,0.004650751046057701,-0.526961510787204
8421,1024,128,"[4914, 4256, 4839]",5,0.11540316310732718,128,512,512,rmsprop,0.22090189785743397,0.0008977086753447149,0.7867017335341374,-0.5652101052836985
8421,1024,128,"[2703, 2136, 2348]",5,0.016023650584311287,128,512,512,adam,0.030912887869593293,0.10071039913759282,0.02921760127914786,-0.5669304086588601
8421,1024,512,"[864, 4995, 1376, 2137]",5,0.05967899243836779,256,512,512,rmsprop,0.24279719592336452,0.0017909937393907646,0.012536971491294213,-0.5736863879500943
8421,1024,512,[2828],5,0.014489810812699427,256,512,512,adagrad,0.0005310470633936806,0.12102409322818745,0.003320810903354181,-0.6795718803855937
