,egfr_cs,smiles,proteinName,protein_dataset
144,0,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,EGFR,egfr_cs
145,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,EGFR,egfr_cs
146,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,EGFR,egfr_cs
147,0,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,EGFR,egfr_cs
148,0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,EGFR,egfr_cs
149,0,CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,EGFR,egfr_cs
150,0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,EGFR,egfr_cs
151,0,CC(=O)[O-].CC(=O)[O-].[Ca+2],EGFR,egfr_cs
152,0,Nc1ccc(S(N)(=O)=O)cc1,EGFR,egfr_cs
153,0,N[C@@H]1CONC1=O,EGFR,egfr_cs
154,0,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,EGFR,egfr_cs
155,0,O=NN(CCCl)C(=O)NCCCl,EGFR,egfr_cs
156,0,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,EGFR,egfr_cs
157,0,COCCc1ccc(OCC(O)CNC(C)C)cc1,EGFR,egfr_cs
158,0,CC=CC(=O)N(CC)c1ccccc1C,EGFR,egfr_cs
159,0,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,EGFR,egfr_cs
160,0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,EGFR,egfr_cs
161,0,CCCN(CCC)CCc1cccc2c1CC(=O)N2,EGFR,egfr_cs
162,0,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,EGFR,egfr_cs
163,0,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,EGFR,egfr_cs
164,0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,EGFR,egfr_cs
165,0,NCCc1ccn[nH]1,EGFR,egfr_cs
166,0,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,EGFR,egfr_cs
167,0,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,EGFR,egfr_cs
168,0,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,EGFR,egfr_cs
169,0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,EGFR,egfr_cs
170,0,Cn1c(=O)c2[nH]cnc2n(C)c1=O,EGFR,egfr_cs
171,0,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,EGFR,egfr_cs
172,0,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,EGFR,egfr_cs
173,0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,EGFR,egfr_cs
174,0,CCN(CC)CC(=O)Nc1c(C)cccc1C,EGFR,egfr_cs
175,0,NCCC(O)(P(=O)(O)O)P(=O)(O)O,EGFR,egfr_cs
176,0,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,EGFR,egfr_cs
177,0,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,EGFR,egfr_cs
178,0,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,EGFR,egfr_cs
179,0,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,EGFR,egfr_cs
180,0,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,EGFR,egfr_cs
181,0,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,EGFR,egfr_cs
182,0,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,EGFR,egfr_cs
183,0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,EGFR,egfr_cs
184,0,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,EGFR,egfr_cs
